ID,Label,Type,Parent Class,has genre,has theme/topic,has keywords,Disjoint Class,Domain,Range
ID,LABEL,TYPE,SC %,"C ""has genre"" some % SPLIT=,","C ""has theme/topic"" some % SPLIT=,","C ""has keywords"" some % SPLIT=,",DC %,DOMAIN,RANGE
obo:book_2,general descriptor,class,,obo:book_2_1,obo:book_2_7,obo:book_2_23,,,
obo:book_2_1,genre,class,,,,,,,
obo:book_2_2,classic,class,genre,,,,,,
obo:book_2_3,drama,class,genre,,,,,,
obo:book_2_4,historical fiction,class,genre,,,,,,
obo:book_2_5,realistic fiction,class,genre,,,,,,
obo:book_2_6,psychological fiction,class,genre,,,,,,
obo:book_2_7,theme/topic,class,,,,,,,
obo:book_2_8,tragedy,class,theme/topic,,,,,,
obo:book_2_9,facing racism,class,theme/topic,,,,,,
obo:book_2_10,toxic relationships,class,theme/topic,,,,,,
obo:book_2_11,unreliable narrator,class,theme/topic,,,,,,
obo:book_2_12,revenge love,class,theme/topic,,,,,,
obo:book_2_13,class and society,class,theme/topic,,,,,,
obo:book_2_14,pursuit of happiness,class,theme/topic,,,,,,
obo:book_2_15,toxic capitalism,class,theme/topic,,,,,,
obo:book_2_16,social justice,class,theme/topic,,,,,,
obo:book_2_17,human nature,class,theme/topic,keywords,,,,,
obo:book_2_18,loss of innocence,class,theme/topic,,,,,,
obo:book_2_19,war and future of mankind,class,theme/topic,,,,,,
obo:book_2_20,gender,class,theme/topic,,,,,,
obo:book_2_21,tradition,class,theme/topic,,,,,,
obo:book_2_22,sacrifice for family,class,theme/topic,,,,,,
obo:book_2_23,keywords,class,,,,,,,
obo:book_2_24,vendetta,class,keywords,,,,,,
obo:book_2_25,romantic,class,keywords,,,,,,
obo:book_2_26,tear-jerker,class,keywords,,,,,,
obo:book_2_27,british,class,keywords,,,,,,
obo:book_2_28,european,class,keywords,,,,,,
obo:book_2_29,forbidden love,class,keywords,,,,,,
obo:book_2_30,family feuds,class,keywords,,,,,,
obo:book_2_31,bittersweet,class,keywords,,,,,,
obo:book_2_32,moving,class,keywords,,,,,,
obo:book_2_33,thought-provoking,class,keywords,,,,,,
obo:book_2_34,modern classic,class,keywords,,,,,,
obo:book_2_35,race and racism,class,keywords,,,,,,
obo:book_2_36,american dream,class,keywords,,,,,,
obo:book_2_37,revenge love,class,keywords,,,,,,
obo:book_2_38,atmospheric,class,keywords,,,,,,
obo:book_2_39,bleak,class,keywords,,,,,,
obo:book_2_40,haunting,class,keywords,,,,,,
obo:book_2_41,melancholy,class,keywords,,,,,,
obo:book_2_42,flawed friendship,class,keywords,,,,,,
obo:book_2_43,social justice,class,keywords,,,,,,
obo:book_2_44,disturbing,class,keywords,,,,,,
obo:book_2_45,teen-drama,class,keywords,,,,,,
obo:book_2_46,dramatic,class,keywords,,,,,,
obo:book_2_47,families,class,keywords,,,,,,
obo:book_2_48,has genre,object property,,,,,,,genre
obo:book_2_49,has theme/topic,object property,,,,,,,theme/topic
obo:book_2_50,has keywords,object property,,,,,,,keywords
obo:book_11,Romeo and Juliet,class,obo:book_1,"classic, drama",tragedy,"vendetta, romantic, tear-jerker, british, european, forbidden love, family feuds",,,
obo:book_12,To Kill a Mockingbird,class,obo:book_1,historical fiction,facing racism,"bittersweet, moving, thought-provoking, modern classic, race and racism",,,
obo:book_13,Great Gatsby,class,obo:book_1,realistic fiction,"toxic relationships, unreliable narrator, revenge love, class and society","romantic, american dream, revenge love, forbidden love, atmospheric",,,
obo:book_14,Of Mice and Men,class,obo:book_1,realistic fiction,"pursuit of happiness, toxic capitalism, social justice","bleak, haunting, melancholy, moving, flawed friendship, social justice, american dream",,,
obo:book_15,Lord of the Flies,class,obo:book_1,psychological fiction,"human nature, loss of innocence, war and future of mankind","bleak, thought-provoking, disturbing, haunting, teen-drama",,,
obo:book_16,Fahrenheit 451,class,obo:book_1,,,,,,
obo:book_17,Animal Farm,class,obo:book_1,,,,,,
obo:book_18,Julius Caesar,class,obo:book_1,"classic, drama",,,,,
obo:book_19,Macbeth,class,obo:book_1,"classic, drama",,,,,
obo:book_20,1984,class,obo:book_1,,,,,,
obo:book_21,"Odyssey, The",class,obo:book_1,,,,,,
obo:book_22,"Crucible, The",class,obo:book_1,"classic, drama",,,,,
obo:book_23,"Scarlet Letter, The",class,obo:book_1,,,,,,
obo:book_24,Huckleberry Finn,class,obo:book_1,,,,,,
obo:book_25,Grapes of Wrath,class,obo:book_1,,,,,,
obo:book_26,Hamlet,class,obo:book_1,"classic, drama",,,,,
obo:book_27,Frankenstein,class,obo:book_1,,,,,,
obo:book_28,Beowulf,class,obo:book_1,,,,,,
obo:book_29,Canterbury Tales,class,obo:book_1,,,,,,
obo:book_30,Brave New World,class,obo:book_1,,,,,,
obo:book_31,Thousand Splendid Suns,class,obo:book_1,realistic fiction,"gender, tradition, sacrifice for family","bleak, haunting, dramatic, thought-provoking, families ",,,
